Company,Headquarter,Sector,Investor,Amount,Stage,fundyear
Stones2milestones,Gurugram,EdTech,"Menterra Venture Advisors, Emandi Sankara Rao",2000000.0,Bridge,2020
Udacity,California,EdTech,"Hercules Capital, Inc.Bertelsmann",75000000.0,Debt,2020
AjnaLens,Thane,Ar/Vr Startup,"Mohsin Hani Al Bahrani, MoD",1000000.0,Bridge,2020
Gully Network,Bangalore,E-Commerce,"CP Ventures, Orios Venture Partners",1200000.0,Pre-series A,2020
TurboHire,Hyderabad,Recruitment Startup,"Kia Ora Ventures, Pentathlon Ventures",1000000.0,Seed,2020
Traya,Mumbai,Healthtech,"Kae Capital, Whiteboard Capital",113042969.54307117,Seed,2020
Charcoal Eats,Mumbai,Qsr Startup,Lokmat Investments,2000000.0,Series A,2020
Mitron TV,Bangalore,Video Platform,9Unicorns,113042969.54307117,Series A,2020
Svami,Mumbai,Food & Beverage,"Niren Shah, Rukam Capital Trust",800000.0,Series A,2020
Dhurnia,"Dhingsara, Haryana",EdTech,"Chandigarh Angels Network, Modulor Capital",100000.0,Series A,2020
Expertrons,Mumbai,EdTech,"Rohit Chanana, Sukanta Ganguly",113042969.54307117,Series A,2020
Leena AI,"New York, United States",Ai Startup,"Alan Patricof, Jim Moffatt",8000000.0,Series A,2020
Bizlog,Bangalore,Logistics,IAN Fund,1000000.0,Series A,2020
Tamasha.live,Mumbai,Gaming,"9Unicorns, Titan Capital, FirstCheque",300000.0,Series A,2020
Fedo,Bangalore,Ai Startup,AIM Smart City,1000000.0,Series A,2020
FabHotels,Gurugram,Hospitality,"RB Investments Pte. Ltd, Goldman Sachs",1000000.0,Series A,2020
Freshokartz,"Jaipur, Rajastan",Agritech,"Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000.0,Pre-series A,2020
FlexiLoans,Mumbai,FinTech,>Vikram Sud,6000000.0,Debt,2020
Agrix,Patna,Agritech,Maple Capital Advisors,113042969.54307117,Series A,2020
BharatAgri,Pune,Agritech,"021 Capital, India Quotient",113042969.54307117,Pre-series A,2020
FreshtoHome,Bangalore,E-Commerce,"Ascent Capital, Iron Pillar",121000000.0,Series C,2020
Credable,Mumbai,FinTech,Oaks Asset Management,4500000.0,Series A,2020
Railofy,Mumbai,Logistics,"Roots Ventures, Better Capital",5000000.0,Seed,2020
Finova Capital,"Jaipur, Rajastan",FinTech,"Sequoia Capital India, Faering Capital",55000000.0,Series A,2020
Teachmint,Bangalore,EdTech,Lightspeed India,3500000.0,Seed,2020
Peel-Works,Mumbai,E-Commerce,"CESC Ventures, Brun Raschle",3000000.0,Series A,2020
Janani,Bangalore,Fertility Tech,9Unicorns,200000.0,Pre-seed,2020
Credgenics,Gurugram,FinTech,"Accel, Sunder Nookala",3300000.0,Seed,2020
Finelistings,New Delhi,Luxury Car Startup,Justdial,113042969.54307117,Series A,2020
Wellversed,New Delhi,Health,"KLUB Works, Shankar Narayanan",113042969.54307117,Pre-series A,2020
Jumbotail,Bangalore,E-Commerce,Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000.0,Series B2,2020
Winzo,New Delhi,Gaming Startup,"Makers Fund, Courtside Ventures",2000000.0,Series A,2020
mCaffeine,Mumbai,Cosmetics,"RPSG Ventures, Amicus Capital",5000000.0,Series B,2020
Pocket FM,Bangalore,Fm,"Times Group, Lightspeed",5000000.0,Series A,2020
Snackible,Mumbai,Health,"Mumbai Angels, Murali Nair",113042969.54307117,Bridge,2020
FreshtoHome,Bangalore,E-Commerce,"Ascent Capital, Iron Pillar",16000000.0,Series A,2020
Jumbotail,Bangalore,Retail,"Nexus Venture Partners, Capria Ventures",11000000.0,Series B2,2020
Nykaa,Mumbai,E-Commerce,"Katrina Kaif, Steadview Capital",113042969.54307117,Series A,2020
TagZ Foods,Bangalore,Food,"Exfinity Venture Partners, Shesh Kondi",113042969.54307117,Series A,2020
Genius Teacher,Mumbai,EdTech,"Sandeep Tandon, Daniel Lapus",2000000.0,Series A,2020
Krimanshi Feeds,Jodhpur,Nutrition Sector,"Rajasthan Venture Capital Fund, AIM Smart City",500000.0,Series A,2020
Origo,Gurugram,Agritech,Northern Arc Capital,4000000.0,Debt,2020
GetVantage,Mumbai,FinTech,"Samyakth Capital, Venture Catalysts",5000000.0,Seed,2020
Betterplace,Bangalore,Tech Platform,Jungle Ventures,10000000.0,Series B,2020
Biddano,Mumbai,Health,Windrose Capital,600000.0,Pre-series A,2020
InVideo,Mumbai,Video,"Base Partners, Sequoia Capital India",15000000.0,Series A,2020
Arzooo,Bangalore,Retail,"3Lines, Jabbar Internet Group",7500000.0,Series A,2020
Hubilo,"San Francisco, California, United States",Tech Company,"Nishant Rao, Jonathan Boutelle",4500000.0,Seed,2020
BASIC Home Loan,Gurugram,FinTech,Picus Capital,5000000.0,Seed,2020
Ketos,"San Francisco, United States",Ai Startup,"Citi Ventures, Illuminated Funds Group",18000000.0,Series A,2020
SUGAR cosmetics,Mumbai,Cosmetics,"A91 Partners, RB Investments Pte. Ltd",2000000.0,Debt,2020
Signzy,Bangalore,FinTech,"GenNext Ventures, Contrarian Drishti Partners",5400000.0,Series A,2020
Ahaguru,Chennai,EdTech,Anand Mahindra,113042969.54307117,Series A,2020
Tekion,"San Ramon, California",Ai Startup,"Alliance Ventures, Storm Ventures",150000000.0,Series C,2020
Brighteye Ventures,"Paris, Ile-de-France, France",EdTech,Tandem,5400000.0,Series A,2020
EzeRx,Kolkata,Medtech,"Indian Oil Corporation, Krishna Chakravarty",200000.0,Seed,2020
VitalTech,"Plano, Texas, United States",Heathtech,Tech Mahindra,3000000.0,Seed,2020
Genius Teacher,Mumbai,EdTech,"Whiteboard Capital, VKG Ventures LLP.",2000000.0,Series A,2020
Ultraviolette Automotive,Bangalore,Automotive,TVS Motor Company,4000000.0,Series B,2020
Tring,Mumbai,Social Media,"Sujeet Kumar, Hemesh Singh",113042969.54307117,Series A,2020
Rare Planet,Kolkata,Retail Startup,Venture Catalysts,400000.0,Pre-series A,2020
GoodGamer,Bangalore,Gaming,Venture Catalysts,2500000.0,Seed,2020
InnAccel,Bangalore,Medtech,Mount Judi Ventures,1500000.0,Pre-series A,2020
Tiliter,Sydney,Retail,"AngelList, Investec",7500000.0,Series A,2020
